window_number,model_name,trial_number,trial_value,trial_state,optimization_metric
1,xgboost,6,0.28863773357444245,COMPLETE,f1
1,xgboost,7,0.3918988852719297,COMPLETE,f1
1,xgboost,8,0.38055143749266823,COMPLETE,f1
1,xgboost,9,0.28863773357444245,COMPLETE,f1
1,xgboost,10,0.47481627091937767,COMPLETE,f1
1,xgboost,11,0.4742070023073821,COMPLETE,f1
1,xgboost,12,0.46743325241792183,COMPLETE,f1
1,xgboost,13,0.4633971492203222,COMPLETE,f1
1,xgboost,14,0.45899771118592625,COMPLETE,f1
1,lightgbm,0,0.42447330698576047,COMPLETE,f1
1,lightgbm,1,0.28863773357444245,COMPLETE,f1
1,lightgbm,2,0.38562935846127516,COMPLETE,f1
1,lightgbm,3,0.3015890305502063,COMPLETE,f1
1,lightgbm,4,0.4434537754950139,COMPLETE,f1
1,lightgbm,5,0.28863773357444245,COMPLETE,f1
1,lightgbm,6,0.45062459247057207,COMPLETE,f1
1,lightgbm,7,0.28863773357444245,COMPLETE,f1
1,lightgbm,8,0.28863773357444245,COMPLETE,f1
1,lightgbm,9,0.3974166434672341,COMPLETE,f1
1,lightgbm,10,0.38109483909731817,COMPLETE,f1
1,lightgbm,11,0.4527731957867606,COMPLETE,f1
1,lightgbm,12,0.4389791139016917,COMPLETE,f1
1,lightgbm,13,0.44397259325133404,COMPLETE,f1
1,lightgbm,14,0.45039537421421727,COMPLETE,f1
1,lightgbm,15,0.44092828784465615,COMPLETE,f1
1,lightgbm,16,0.45167981763809956,COMPLETE,f1
1,lightgbm,17,0.4305057270899251,COMPLETE,f1
1,lightgbm,18,0.43448469428640446,COMPLETE,f1
1,lightgbm,19,0.4395085117883472,COMPLETE,f1
1,lightgbm,20,0.44715883637741277,COMPLETE,f1
1,lightgbm,21,0.4436155918276165,COMPLETE,f1
1,random_forest,0,0.28863773357444245,COMPLETE,f1
1,random_forest,1,0.3766925744098109,COMPLETE,f1
1,random_forest,2,0.32930502158298913,COMPLETE,f1
1,random_forest,3,0.36957522783234875,COMPLETE,f1
1,random_forest,4,0.3909821860989066,COMPLETE,f1
1,random_forest,5,0.37409527303909124,COMPLETE,f1
1,random_forest,6,0.3311686090468943,COMPLETE,f1
1,random_forest,7,0.35358840909706135,COMPLETE,f1
1,random_forest,8,0.29918805172920687,COMPLETE,f1
1,random_forest,9,0.37077375102190574,COMPLETE,f1
1,random_forest,10,0.34155337213873654,COMPLETE,f1
1,random_forest,11,0.34375062512289434,COMPLETE,f1
1,random_forest,12,0.3971133607406208,COMPLETE,f1
1,random_forest,13,0.40247765678222064,COMPLETE,f1
1,random_forest,14,0.40072392819534647,COMPLETE,f1
1,random_forest,15,0.4026438589841202,COMPLETE,f1
1,random_forest,16,0.416844396035182,COMPLETE,f1
1,random_forest,17,0.35976309427433945,COMPLETE,f1
1,random_forest,18,0.40789121414350843,COMPLETE,f1
1,random_forest,19,0.41476879488704904,COMPLETE,f1
1,random_forest,20,0.4154128532151357,COMPLETE,f1
1,random_forest,21,0.4136797412396662,COMPLETE,f1
1,random_forest,22,0.42152915380140005,COMPLETE,f1
1,random_forest,23,0.40491487978108776,COMPLETE,f1
1,random_forest,24,0.4028363931374103,COMPLETE,f1
1,extra_trees,0,0.28863773357444245,COMPLETE,f1
1,extra_trees,1,0.3637673638327233,COMPLETE,f1
1,extra_trees,2,0.3176445905144669,COMPLETE,f1
1,extra_trees,3,0.36595897302942376,COMPLETE,f1
1,extra_trees,4,0.39312025807095585,COMPLETE,f1
1,extra_trees,5,0.3363431378225303,COMPLETE,f1
1,extra_trees,6,0.3124841140818283,COMPLETE,f1
1,extra_trees,7,0.3258502164151278,COMPLETE,f1
1,extra_trees,8,0.30592012213680586,COMPLETE,f1
1,extra_trees,9,0.3706508700203126,COMPLETE,f1
1,extra_trees,10,0.31521589306889114,COMPLETE,f1
1,extra_trees,11,0.361007162865568,COMPLETE,f1
1,extra_trees,12,0.4003475298411665,COMPLETE,f1
1,extra_trees,13,0.38870208063375294,COMPLETE,f1
1,extra_trees,14,0.4082271987043847,COMPLETE,f1
1,extra_trees,15,0.40767338879655574,COMPLETE,f1
1,extra_trees,16,0.4074135501197364,COMPLETE,f1
1,extra_trees,17,0.341321153970868,COMPLETE,f1
